student_id,Frame,Emotions,Main Emotion,Face Position
student_0,10,"{'angry': 0.000326520785165485, 'disgust': 9.502016661089925e-14, 'fear': 0.001956618871190585, 'happy': 0.0013072059118712787, 'sad': 0.018898492271546274, 'surprise': 0.00024057655991782667, 'neutral': 99.97727274894714}",neutral,"{'x': 1334, 'y': 275, 'w': 147, 'h': 172, 'left_eye': (1384, 352), 'right_eye': (1454, 340)}"
student_1,10,"{'angry': 0.14463126124478945, 'disgust': 7.051846638398567e-07, 'fear': 1.409150744029924, 'happy': 0.0016232787915061626, 'sad': 22.69544289680975, 'surprise': 1.3081442132084149e-05, 'neutral': 75.74913953239557}",neutral,"{'x': 548, 'y': 418, 'w': 154, 'h': 193, 'left_eye': (566, 501), 'right_eye': (629, 514)}"
student_2,10,"{'angry': 0.030625370722308243, 'disgust': 7.109845560531018e-07, 'fear': 0.622754664823969, 'happy': 6.495195272089617e-05, 'sad': 96.61657769877645, 'surprise': 1.5920932249776735e-06, 'neutral': 2.7299753850669126}",sad,"{'x': 421, 'y': 157, 'w': 105, 'h': 134, 'left_eye': (462, 222), 'right_eye': (505, 214)}"
student_3,10,"{'angry': 5.66587895154953, 'disgust': 2.7379485345591092e-05, 'fear': 13.976432383060455, 'happy': 0.1862919540144503, 'sad': 79.00554537773132, 'surprise': 0.0007465587259503081, 'neutral': 1.165081188082695}",sad,"{'x': 1715, 'y': 350, 'w': 157, 'h': 195, 'left_eye': (1728, 422), 'right_eye': (1776, 428)}"
student_4,10,"{'angry': 0.5914988461881876, 'disgust': 4.630440741948405e-06, 'fear': 0.12282509123906493, 'happy': 0.08704184438101947, 'sad': 7.913427799940109, 'surprise': 0.0005918635906709824, 'neutral': 91.28460884094238}",neutral,"{'x': 1023, 'y': 80, 'w': 94, 'h': 135, 'left_eye': (1034, 137), 'right_eye': (1072, 139)}"
student_5,10,"{'angry': 0.00040552694995019155, 'disgust': 3.1161369766856017e-08, 'fear': 3.767777902748835, 'happy': 0.01134771165437336, 'sad': 5.342691499866068, 'surprise': 1.1554028888522522e-05, 'neutral': 90.87776054409021}",neutral,"{'x': 86, 'y': 408, 'w': 149, 'h': 194, 'left_eye': (185, 491), 'right_eye': (216, 479)}"
student_0,20,"{'angry': 0.002813828905345872, 'disgust': 3.270304212098208e-15, 'fear': 0.0008389721187995747, 'happy': 2.0625220997771976e-05, 'sad': 0.05763762746937573, 'surprise': 3.4944353188848254e-06, 'neutral': 99.93869066238403}",neutral,"{'x': 1336, 'y': 275, 'w': 147, 'h': 173, 'left_eye': (1388, 353), 'right_eye': (1459, 344)}"
student_3,20,"{'angry': 0.06488703656941652, 'disgust': 1.1334233107618275e-06, 'fear': 6.402337551116943, 'happy': 0.0026337094823247753, 'sad': 90.73538780212402, 'surprise': 2.5037539330696745e-05, 'neutral': 2.7947312220931053}",sad,"{'x': 1715, 'y': 350, 'w': 155, 'h': 196, 'left_eye': (1729, 422), 'right_eye': (1775, 430)}"
student_2,20,"{'angry': 0.5200556323710461, 'disgust': 6.412788904657222e-07, 'fear': 2.1283719094617313, 'happy': 2.3605130636029428e-05, 'sad': 88.69041137042113, 'surprise': 6.309784005014084e-06, 'neutral': 8.66113207704616}",sad,"{'x': 425, 'y': 166, 'w': 105, 'h': 135, 'left_eye': (462, 228), 'right_eye': (507, 225)}"
student_1,20,"{'angry': 0.007340479351114482, 'disgust': 1.866627269420107e-08, 'fear': 0.42102145962417126, 'happy': 1.4678872162221523e-05, 'sad': 95.5270528793335, 'surprise': 3.144692839462948e-09, 'neutral': 4.044568911194801}",sad,"{'x': 522, 'y': 418, 'w': 138, 'h': 204, 'left_eye': (540, 506), 'right_eye': (567, 514)}"
student_5,20,"{'angry': 0.1378656830638647, 'disgust': 8.064656581430185e-09, 'fear': 0.0057082590501522645, 'happy': 0.006397258403012529, 'sad': 0.8444132283329964, 'surprise': 4.6617310012209145e-07, 'neutral': 99.00561571121216}",neutral,"{'x': 112, 'y': 419, 'w': 143, 'h': 186, 'left_eye': (210, 498), 'right_eye': (239, 491)}"
student_4,20,"{'angry': 10.99623498275697, 'disgust': 0.0002941895796175382, 'fear': 0.2858275655526001, 'happy': 0.37538269353004616, 'sad': 10.177854171735545, 'surprise': 0.006463061478940648, 'neutral': 78.1579468438562}",neutral,"{'x': 1035, 'y': 82, 'w': 98, 'h': 134, 'left_eye': (1056, 140), 'right_eye': (1099, 140)}"
student_0,30,"{'angry': 0.0065880664185492795, 'disgust': 1.39625985769013e-08, 'fear': 0.027842408075848705, 'happy': 99.21677107910938, 'sad': 0.022651371441025074, 'surprise': 0.40400929363127314, 'neutral': 0.32214223930342434}",happy,"{'x': 1341, 'y': 261, 'w': 146, 'h': 175, 'left_eye': (1394, 334), 'right_eye': (1462, 326)}"
student_3,30,"{'angry': 0.04663234867621213, 'disgust': 7.397810577458586e-05, 'fear': 8.855142444372177, 'happy': 0.0003274805294495309, 'sad': 89.15086388587952, 'surprise': 3.2095268664988907e-06, 'neutral': 1.9469570368528366}",sad,"{'x': 1716, 'y': 351, 'w': 153, 'h': 193, 'left_eye': (1730, 424), 'right_eye': (1775, 431)}"
student_2,30,"{'angry': 0.6574168335646391, 'disgust': 4.4317776115576635e-06, 'fear': 5.214768275618553, 'happy': 3.6390460422808246e-05, 'sad': 89.74197506904602, 'surprise': 4.789709961983135e-06, 'neutral': 4.385793209075928}",sad,"{'x': 437, 'y': 168, 'w': 106, 'h': 135, 'left_eye': (474, 232), 'right_eye': (519, 229)}"
student_1,30,"{'angry': 0.03145595171827653, 'disgust': 1.0695582032894251e-07, 'fear': 6.9022498247325625, 'happy': 2.6819287413438686e-05, 'sad': 91.02472173872927, 'surprise': 1.6727511602418052e-06, 'neutral': 2.0415430317469796}",sad,"{'x': 518, 'y': 431, 'w': 131, 'h': 206, 'left_eye': (538, 519), 'right_eye': (558, 528)}"
student_4,30,"{'angry': 1.6550114378333092, 'disgust': 5.063555974516021e-06, 'fear': 0.051425700075924397, 'happy': 0.012674559548031539, 'sad': 5.037451535463333, 'surprise': 0.000559206955585978, 'neutral': 93.24287176132202}",neutral,"{'x': 1041, 'y': 87, 'w': 99, 'h': 134, 'left_eye': (1059, 145), 'right_eye': (1105, 146)}"
student_5,30,"{'angry': 0.0580672116484493, 'disgust': 4.545144065559725e-05, 'fear': 12.405166029930115, 'happy': 55.566900968551636, 'sad': 5.875635519623756, 'surprise': 0.0007275595180544769, 'neutral': 26.093459129333496}",happy,"{'x': 125, 'y': 413, 'w': 147, 'h': 197, 'left_eye': (223, 500), 'right_eye': (255, 489)}"
student_0,40,"{'angry': 0.0014112758572275659, 'disgust': 5.266369177723179e-10, 'fear': 6.594194483737502e-05, 'happy': 99.95260239212485, 'sad': 0.0012489576295562307, 'surprise': 0.04129267853175956, 'neutral': 0.003372053795845354}",happy,"{'x': 1346, 'y': 246, 'w': 145, 'h': 174, 'left_eye': (1397, 318), 'right_eye': (1465, 310)}"
student_3,40,"{'angry': 0.005901217070224595, 'disgust': 1.1380512322508144e-06, 'fear': 9.756772056625609, 'happy': 1.108770511077077, 'sad': 85.72982464610484, 'surprise': 0.02602611939950999, 'neutral': 3.3727044387283587}",sad,"{'x': 1696, 'y': 336, 'w': 114, 'h': 188, 'left_eye': (1718, 409), 'right_eye': (1724, 410)}"
student_5,40,"{'angry': 0.1870762100948441, 'disgust': 7.412588325460977e-07, 'fear': 0.26238138453586285, 'happy': 81.60243253678888, 'sad': 0.21937894348008113, 'surprise': 0.0003428844184395107, 'neutral': 17.728378745510728}",happy,"{'x': 123, 'y': 403, 'w': 151, 'h': 192, 'left_eye': (220, 485), 'right_eye': (258, 475)}"
student_2,40,"{'angry': 0.32163062132894993, 'disgust': 6.347045666821316e-08, 'fear': 2.031428925693035, 'happy': 1.5651316687126382e-06, 'sad': 87.50255107879639, 'surprise': 5.749511977626298e-07, 'neutral': 10.144390910863876}",sad,"{'x': 448, 'y': 167, 'w': 106, 'h': 133, 'left_eye': (487, 230), 'right_eye': (532, 226)}"
student_1,40,"{'angry': 0.005645118289976381, 'disgust': 2.374639374025378e-08, 'fear': 28.876984119415283, 'happy': 9.146355495204261e-06, 'sad': 70.90518474578857, 'surprise': 2.024435064029717e-07, 'neutral': 0.21217975299805403}",sad,"{'x': 525, 'y': 433, 'w': 135, 'h': 207, 'left_eye': (544, 523), 'right_eye': (568, 531)}"
student_4,40,"{'angry': 39.242544770240784, 'disgust': 0.0018655757230590098, 'fear': 0.695851119235158, 'happy': 0.04463789809960872, 'sad': 25.294223427772522, 'surprise': 0.004382077895570546, 'neutral': 34.71649885177612}",angry,"{'x': 1047, 'y': 87, 'w': 98, 'h': 133, 'left_eye': (1067, 144), 'right_eye': (1111, 145)}"
student_5,50,"{'angry': 0.0077547854743897915, 'disgust': 1.0641654313303661e-05, 'fear': 4.091216251254082, 'happy': 25.243180990219116, 'sad': 0.8385211229324341, 'surprise': 0.01182744381367229, 'neutral': 69.80749368667603}",neutral,"{'x': 114, 'y': 392, 'w': 154, 'h': 190, 'left_eye': (202, 472), 'right_eye': (255, 462)}"
student_0,50,"{'angry': 0.17818851629272103, 'disgust': 2.6970539579451724e-06, 'fear': 0.6524696946144104, 'happy': 47.0808207988739, 'sad': 0.011553031072253361, 'surprise': 52.00679898262024, 'neutral': 0.07016874151304364}",surprise,"{'x': 1354, 'y': 233, 'w': 142, 'h': 179, 'left_eye': (1404, 305), 'right_eye': (1470, 303)}"
student_2,50,"{'angry': 0.10848507517948747, 'disgust': 6.186003931318851e-08, 'fear': 1.8931744620203972, 'happy': 1.9690800101557215e-06, 'sad': 92.69752502441406, 'surprise': 8.416282781809059e-07, 'neutral': 5.300816148519516}",sad,"{'x': 455, 'y': 167, 'w': 105, 'h': 135, 'left_eye': (494, 230), 'right_eye': (538, 227)}"
student_1,50,"{'angry': 0.002238187335024122, 'disgust': 3.841361395640064e-08, 'fear': 4.939683526754379, 'happy': 0.16634733183309436, 'sad': 91.25471711158752, 'surprise': 1.001841667402914e-05, 'neutral': 3.6370016634464264}",sad,"{'x': 542, 'y': 435, 'w': 130, 'h': 209, 'left_eye': (560, 523), 'right_eye': (580, 529)}"
student_4,50,"{'angry': 58.780860900878906, 'disgust': 0.6337393075227737, 'fear': 6.857602298259735, 'happy': 0.5189138930290937, 'sad': 22.707098722457886, 'surprise': 0.12240144424140453, 'neutral': 10.379382222890854}",angry,"{'x': 1060, 'y': 87, 'w': 100, 'h': 133, 'left_eye': (1083, 142), 'right_eye': (1129, 145)}"
student_3,50,"{'angry': 81.55336599905897, 'disgust': 0.001864180154059958, 'fear': 0.06494021898848187, 'happy': 2.1491998107195127, 'sad': 3.1513418970892553, 'surprise': 2.9778288852776424, 'neutral': 10.101451265638916}",angry,"{'x': 1692, 'y': 338, 'w': 96, 'h': 176, 'left_eye': (1711, 398), 'right_eye': (1712, 399)}"
student_5,60,"{'angry': 0.0008901864778831423, 'disgust': 5.991834757947558e-07, 'fear': 0.1492397798200214, 'happy': 85.58469586554816, 'sad': 0.561711311434351, 'surprise': 1.0478258746473939, 'neutral': 12.655627708956276}",happy,"{'x': 134, 'y': 405, 'w': 149, 'h': 194, 'left_eye': (223, 484), 'right_eye': (268, 475)}"
student_0,60,"{'angry': 0.05593853171920966, 'disgust': 1.0318319036928852e-08, 'fear': 0.009533054094170651, 'happy': 1.7949185472678273, 'sad': 0.13921014863015108, 'surprise': 3.6038460495380193, 'neutral': 94.39655508974523}",neutral,"{'x': 1365, 'y': 248, 'w': 145, 'h': 171, 'left_eye': (1416, 313), 'right_eye': (1483, 313)}"
student_2,60,"{'angry': 0.06329181315251432, 'disgust': 1.930321124036624e-09, 'fear': 1.1472570273569789, 'happy': 3.4592173887230806e-07, 'sad': 88.55893748296053, 'surprise': 9.720539879981535e-08, 'neutral': 10.230510952411777}",sad,"{'x': 461, 'y': 171, 'w': 104, 'h': 133, 'left_eye': (501, 232), 'right_eye': (545, 229)}"
student_1,60,"{'angry': 0.0016018279938884, 'disgust': 6.048495398676273e-10, 'fear': 17.49547526213379, 'happy': 3.0013946540742835e-05, 'sad': 82.32175602446533, 'surprise': 2.9592317916910495e-06, 'neutral': 0.18114006295144933}",sad,"{'x': 550, 'y': 438, 'w': 131, 'h': 208, 'left_eye': (570, 527), 'right_eye': (589, 534)}"
student_4,60,"{'angry': 17.09412783384323, 'disgust': 0.0022141066438052803, 'fear': 1.243419386446476, 'happy': 0.11211792007088661, 'sad': 15.643765032291412, 'surprise': 0.06630978896282613, 'neutral': 65.83804488182068}",neutral,"{'x': 1064, 'y': 91, 'w': 99, 'h': 132, 'left_eye': (1087, 146), 'right_eye': (1132, 147)}"
student_5,70,"{'angry': 0.008892122953288135, 'disgust': 0.029328100501558214, 'fear': 10.244184597980057, 'happy': 0.01788073093105739, 'sad': 89.14394910001451, 'surprise': 4.386008262660141e-07, 'neutral': 0.5557664069990162}",sad,"{'x': 161, 'y': 447, 'w': 144, 'h': 188, 'left_eye': (241, 529), 'right_eye': (288, 517)}"
student_0,70,"{'angry': 0.04382831684779376, 'disgust': 1.680499212008968e-08, 'fear': 0.12095490237697959, 'happy': 11.147448420524597, 'sad': 0.7828341796994209, 'surprise': 2.419041655957699, 'neutral': 85.48589944839478}",neutral,"{'x': 1371, 'y': 252, 'w': 145, 'h': 177, 'left_eye': (1422, 323), 'right_eye': (1489, 321)}"
student_2,70,"{'angry': 2.252623252570629, 'disgust': 1.6632766275392896e-07, 'fear': 4.389108717441559, 'happy': 1.2144596439611632e-05, 'sad': 67.10758805274963, 'surprise': 5.92840763147251e-06, 'neutral': 26.250657439231873}",sad,"{'x': 471, 'y': 173, 'w': 102, 'h': 134, 'left_eye': (509, 234), 'right_eye': (553, 230)}"
student_1,70,"{'angry': 0.040236081555282285, 'disgust': 3.310218815242251e-07, 'fear': 9.04752206235861, 'happy': 0.0006360889225348298, 'sad': 86.04991602302599, 'surprise': 4.2115563789608425e-07, 'neutral': 4.861682446398444}",sad,"{'x': 557, 'y': 441, 'w': 135, 'h': 206, 'left_eye': (575, 530), 'right_eye': (598, 537)}"
student_4,70,"{'angry': 19.458588128258214, 'disgust': 0.01085406127216309, 'fear': 7.698307013713477, 'happy': 0.04187439709443336, 'sad': 29.9763375548914, 'surprise': 0.07665458502081512, 'neutral': 42.737374575451064}",neutral,"{'x': 1068, 'y': 93, 'w': 99, 'h': 132, 'left_eye': (1093, 149), 'right_eye': (1138, 149)}"
student_3,70,"{'angry': 8.575062453746796, 'disgust': 9.505711376454201e-12, 'fear': 23.666681349277496, 'happy': 1.9659017524986666e-06, 'sad': 66.70109033584595, 'surprise': 2.769395557322696e-06, 'neutral': 1.0571636259555817}",sad,"{'x': 1681, 'y': 350, 'w': 95, 'h': 172, 'left_eye': (1700, 409), 'right_eye': (1699, 412)}"
student_6,80,"{'angry': 0.029769589309580624, 'disgust': 1.1107216479899762e-06, 'fear': 1.2228839099407196, 'happy': 36.35483384132385, 'sad': 5.819400027394295, 'surprise': 0.01121832465287298, 'neutral': 56.561899185180664}",neutral,"{'x': 191, 'y': 476, 'w': 159, 'h': 179, 'left_eye': (267, 555), 'right_eye': (331, 549)}"
student_0,80,"{'angry': 0.002793538426956124, 'disgust': 4.873235284718803e-12, 'fear': 0.00016563569566196835, 'happy': 0.026437557364817402, 'sad': 0.020013919594596002, 'surprise': 0.006632612744101524, 'neutral': 99.94395970964192}",neutral,"{'x': 1377, 'y': 259, 'w': 143, 'h': 177, 'left_eye': (1426, 330), 'right_eye': (1494, 329)}"
student_2,80,"{'angry': 0.38064736872911453, 'disgust': 4.786043783511218e-08, 'fear': 10.289378464221954, 'happy': 4.017378074649969e-06, 'sad': 76.32037401199341, 'surprise': 7.2424960251282755e-06, 'neutral': 13.009591400623322}",sad,"{'x': 479, 'y': 173, 'w': 103, 'h': 132, 'left_eye': (518, 234), 'right_eye': (562, 231)}"
student_1,80,"{'angry': 0.0017870630472316407, 'disgust': 7.942289048656903e-08, 'fear': 0.25455523282289505, 'happy': 0.0049336937081534415, 'sad': 68.77273321151733, 'surprise': 1.6021900473006667e-08, 'neutral': 30.96598982810974}",sad,"{'x': 557, 'y': 449, 'w': 135, 'h': 203, 'left_eye': (575, 538), 'right_eye': (597, 544)}"
student_4,80,"{'angry': 22.76478409767151, 'disgust': 0.023942920961417258, 'fear': 30.807355046272278, 'happy': 0.025149318389594555, 'sad': 39.52031433582306, 'surprise': 3.8493525236845016, 'neutral': 3.0091041699051857}",sad,"{'x': 1081, 'y': 94, 'w': 99, 'h': 133, 'left_eye': (1108, 151), 'right_eye': (1154, 150)}"
student_5,90,"{'angry': 5.460045208329533, 'disgust': 1.4936315646780017e-05, 'fear': 1.0880910425673673, 'happy': 26.828682204642032, 'sad': 57.09225450846499, 'surprise': 0.00248441381187414, 'neutral': 9.528421964833502}",sad,"{'x': 220, 'y': 490, 'w': 156, 'h': 181, 'left_eye': (287, 571), 'right_eye': (355, 563)}"
student_2,90,"{'angry': 2.0011428743600845, 'disgust': 3.9175063193397364e-07, 'fear': 11.464253067970276, 'happy': 3.7063209390453267e-06, 'sad': 69.8736310005188, 'surprise': 7.029767346011795e-06, 'neutral': 16.660965979099274}",sad,"{'x': 482, 'y': 174, 'w': 104, 'h': 133, 'left_eye': (520, 235), 'right_eye': (564, 231)}"
student_0,90,"{'angry': 0.005701761256204918, 'disgust': 6.110922586097939e-12, 'fear': 0.0005281065114104422, 'happy': 1.1089135892689228, 'sad': 0.026420276844874024, 'surprise': 0.2729716245085001, 'neutral': 98.58546853065491}",neutral,"{'x': 1373, 'y': 270, 'w': 144, 'h': 174, 'left_eye': (1422, 341), 'right_eye': (1490, 338)}"
student_1,90,"{'angry': 5.9313651945558377e-05, 'disgust': 9.43183045228925e-14, 'fear': 0.014751465641893446, 'happy': 7.316885292096842e-09, 'sad': 99.86502528190613, 'surprise': 4.922166359137618e-15, 'neutral': 0.12016233522444963}",sad,"{'x': 560, 'y': 458, 'w': 141, 'h': 201, 'left_eye': (579, 548), 'right_eye': (609, 557)}"
student_4,90,"{'angry': 22.786056863430552, 'disgust': 0.0018698284498360202, 'fear': 22.483831494082896, 'happy': 0.0016128263320735517, 'sad': 51.03339857062093, 'surprise': 0.2603734532966288, 'neutral': 3.432860430053498}",sad,"{'x': 1087, 'y': 97, 'w': 100, 'h': 130, 'left_eye': (1116, 155), 'right_eye': (1161, 155)}"
student_6,90,"{'angry': 3.704770654439926, 'disgust': 1.9412536136816918e-13, 'fear': 1.271606795489788, 'happy': 1.2317200059897004e-05, 'sad': 61.920166015625, 'surprise': 9.667792788548013e-07, 'neutral': 33.103445172309875}",sad,"{'x': 1675, 'y': 353, 'w': 94, 'h': 174, 'left_eye': (1691, 411), 'right_eye': (1690, 414)}"
student_6,100,"{'angry': 0.6386624564178262, 'disgust': 3.154440168354441e-05, 'fear': 4.167887071841185, 'happy': 1.9973366780481743, 'sad': 85.16940982159434, 'surprise': 0.0035796138350575094, 'neutral': 8.023091883843653}",sad,"{'x': 232, 'y': 486, 'w': 161, 'h': 176, 'left_eye': (297, 565), 'right_eye': (370, 555)}"
student_0,100,"{'angry': 0.000900731683059668, 'disgust': 4.5102719890104385e-13, 'fear': 9.653138597630542e-05, 'happy': 0.10246595512872667, 'sad': 0.0030678094854483446, 'surprise': 0.23484177890221947, 'neutral': 99.65862629763045}",neutral,"{'x': 1371, 'y': 278, 'w': 143, 'h': 171, 'left_eye': (1418, 350), 'right_eye': (1487, 345)}"
student_2,100,"{'angry': 3.3769261091947556, 'disgust': 8.510332882849525e-07, 'fear': 9.213760495185852, 'happy': 2.9136552370800928e-05, 'sad': 62.23776936531067, 'surprise': 2.572370760844933e-05, 'neutral': 25.171488523483276}",sad,"{'x': 485, 'y': 171, 'w': 103, 'h': 134, 'left_eye': (522, 233), 'right_eye': (567, 229)}"
student_1,100,"{'angry': 0.000664032370845188, 'disgust': 5.1525246267207503e-14, 'fear': 0.6945471382680967, 'happy': 7.822196818161334e-10, 'sad': 85.00814616583035, 'surprise': 9.741855546939086e-12, 'neutral': 14.296641731662543}",sad,"{'x': 579, 'y': 470, 'w': 152, 'h': 194, 'left_eye': (595, 555), 'right_eye': (638, 566)}"
student_4,100,"{'angry': 8.280620481893958, 'disgust': 0.00033239362567883535, 'fear': 10.709233050437803, 'happy': 0.02892352586871822, 'sad': 47.026610728906306, 'surprise': 2.4246687904395117, 'neutral': 31.529610570715597}",sad,"{'x': 1090, 'y': 93, 'w': 101, 'h': 136, 'left_eye': (1118, 155), 'right_eye': (1165, 153)}"
student_5,110,"{'angry': 0.23800657618085003, 'disgust': 2.406250986447107e-06, 'fear': 0.09339000072978441, 'happy': 34.708823842336166, 'sad': 64.88170414457942, 'surprise': 1.3283251913009006e-05, 'neutral': 0.07806190289180892}",sad,"{'x': 241, 'y': 485, 'w': 153, 'h': 179, 'left_eye': (304, 563), 'right_eye': (371, 557)}"
student_0,110,"{'angry': 0.09774247301325041, 'disgust': 2.7135460427900535e-09, 'fear': 0.013177037966279713, 'happy': 0.0024037184244026237, 'sad': 0.3900589653884748, 'surprise': 0.0044499548417954796, 'neutral': 99.49216839624455}",neutral,"{'x': 1375, 'y': 285, 'w': 141, 'h': 171, 'left_eye': (1421, 355), 'right_eye': (1488, 350)}"
student_2,110,"{'angry': 0.0032653100788593292, 'disgust': 1.640150376625016e-08, 'fear': 0.07678124238736928, 'happy': 1.2769545421065231e-06, 'sad': 99.76053237915039, 'surprise': 2.5798004357757698e-09, 'neutral': 0.15942256432026625}",sad,"{'x': 487, 'y': 169, 'w': 104, 'h': 134, 'left_eye': (527, 232), 'right_eye': (570, 228)}"
